row_id,title,model,battery,price_range,zero_to_hundred,top_speed,fastcharge,germany_price_before_incentives,netherlands_price_before_incentives,uk_price_after_incentives,drive_configuration,tow_hitch,towing_capacity_in_kg,number_of_seats
291,Porsche,Taycan 4S,82.3,251,3.7,250,1050 km/h,"€120,900","€126,800","£95,900",All Wheel Drive,Towbar possible,1500.0,5
292,Audi,Q4 Sportback e-tron 45 quattro,77.0,143,6.6,180,620 km/h,"€56,950","€58,915","£53,675",All Wheel Drive,Towbar possible,1200.0,5
293,Volkswagen,ID. Buzz LWB GTX,86.0,225,6.5,160,570 km/h,"* €78,000","* €78,000","* £73,000",All Wheel Drive,Towbar possible,1600.0,7
294,Smart,#3 Pro+,62.0,122,5.8,180,550 km/h,"€43,490","€43,395","* £37,000",Rear Wheel Drive,Towbar possible,1600.0,5
295,E.go,e.wave X,27.0,167,12.0,135,-,"€24,990","* €50,000","£31,995",Rear Wheel Drive,Towbar possible,1500.0,4
296,Lotus,Emeya S,100.0,241,4.2,250,1230 km/h,"€126,950","€130,585","£108,755",All Wheel Drive,Towbar possible,1500.0,5
297,Polestar,3 Long Range Performance,107.0,198,4.7,210,610 km/h,"€92,190","€93,550","£81,500",All Wheel Drive,Towbar possible,2200.0,5
298,Fiat,500e Cabrio 42 kWh,37.3,166,9.0,150,380 km/h,"€37,990","€37,490","£34,195",Front Wheel Drive,Towbar possible,1500.0,4
299,Citroen,e-Berlingo M 50 kWh,50.0,162,11.7,132,350 km/h,"€36,940","€41,358","£30,990",Front Wheel Drive,Towbar possible,750.0,5
300,Volvo,EC40 Twin Motor Performance,79.0,157,4.6,180,600 km/h,"€64,390","€60,995","£31,995",All Wheel Drive,Towbar possible,1800.0,5
301,Lotus,Emeya R,100.0,324,2.8,256,1090 km/h,"€150,990","€155,025","£131,255",All Wheel Drive,Towbar possible,1500.0,5
302,Mercedes-benz,EQE 500 4MATIC,90.6,200,4.7,210,750 km/h,"€88,215","€113,488","£31,995",All Wheel Drive,Towbar possible,750.0,5
303,Porsche,Taycan Turbo S,97.0,410,2.4,260,1100 km/h,"€209,900","€218,900","£161,400",All Wheel Drive,Towbar possible,1500.0,5
304,Smart,#1 Premium,62.0,134,6.7,180,520 km/h,"€44,990","€44,895","£38,950",Rear Wheel Drive,Towbar possible,1600.0,5
305,Volvo,EX40 Twin Motor Performance,79.0,161,4.6,180,570 km/h,"€62,890","€59,495","£31,995",All Wheel Drive,Towbar possible,1800.0,5
306,Mercedes-benz,EQT 200 Standard,45.0,216,12.6,132,230 km/h,"€49,445","€47,753","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
307,Mercedes-benz,EQE SUV 300,90.6,186,7.6,210,570 km/h,"€83,479","€83,480","£31,995",Rear Wheel Drive,Towbar possible,750.0,5
308,Volvo,EX90 Single Motor,101.0,182,8.4,180,600 km/h,"€83,700","€83,495","£31,995",Rear Wheel Drive,Towbar possible,1200.0,7
309,Porsche,Taycan 4 Cross Turismo,97.0,227,4.7,220,1110 km/h,"€113,100","€119,400","£96,800",All Wheel Drive,Towbar possible,1500.0,5
310,Audi,SQ8 e-tron Sportback,106.0,218,4.5,210,610 km/h,"€98,050","€101,535","£100,000",All Wheel Drive,Towbar possible,1800.0,5
311,Mercedes-benz,EQE SUV AMG 53 4MATIC+,90.6,353,3.5,240,610 km/h,"€139,438","€149,788","£31,995",All Wheel Drive,Towbar possible,1800.0,5
312,Xpeng,P7 AWD Performance,82.7,130,4.1,200,740 km/h,"€58,600","€61,188","£31,995",All Wheel Drive,Towbar possible,1500.0,5
313,Skoda,Enyaq RS,77.0,140,5.5,180,650 km/h,"€61,050","* €50,000","£53,120",All Wheel Drive,Towbar possible,1200.0,5
314,Audi,Q8 e-tron Sportback 50 quattro,89.0,173,6.0,200,690 km/h,"€76,650","€73,785","£70,300",All Wheel Drive,Towbar possible,1800.0,5
315,Vinfast,VF 8 Eco Extended Range,87.7,126,5.9,200,550 km/h,"€52,990","€53,900","£31,995",All Wheel Drive,Towbar possible,1500.0,5
316,Byd,DOLPHIN 44.9 kWh Boost,44.9,125,8.0,160,260 km/h,"* €30,000","€32,990","* £28,500",Front Wheel Drive,Towbar possible,1500.0,5
317,Gwm,ORA 3 GT,59.3,152,8.2,160,280 km/h,"€49,490","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
318,Mercedes-benz,EQS SUV 500 4MATIC,118.0,257,5.3,210,670 km/h,"€124,545","€148,173","£31,995",All Wheel Drive,Towbar possible,1800.0,7
319,Mercedes-benz,eVito Tourer Long 90 kWh,90.0,245,12.1,160,320 km/h,"€72,043","€84,773","£31,995",Front Wheel Drive,Towbar possible,1500.0,8
320,Mercedes-benz,EQE SUV AMG 43 4MATIC,90.6,308,4.3,210,620 km/h,"€124,920","€130,791","£31,995",All Wheel Drive,Towbar possible,1800.0,5
321,Porsche,Taycan 4S Cross Turismo,97.0,247,3.8,240,1110 km/h,"€126,400","€132,600","£100,400",All Wheel Drive,Towbar possible,1500.0,5
322,Porsche,Taycan Turbo,97.0,329,2.7,260,1140 km/h,"€175,600","€183,000","£134,100",All Wheel Drive,Towbar possible,1500.0,5
323,Genesis,GV60 Sport,74.0,171,5.5,200,990 km/h,"€63,200","* €50,000","£58,365",All Wheel Drive,Towbar possible,1600.0,5
324,Skoda,Enyaq Coupe 60,58.0,134,8.8,160,480 km/h,"€46,850","€47,990","£31,995",Rear Wheel Drive,Towbar possible,1000.0,5
325,Kia,e-Soul 39.2 kWh,39.2,164,9.9,157,200 km/h,"* €50,000","* €50,000","£32,875",Front Wheel Drive,Towbar possible,1500.0,5
326,Aiways,U6,60.0,138,7.0,160,430 km/h,"€47,588","€48,975","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
327,Elaris,BEO 86 kWh,81.0,136,8.0,150,290 km/h,"€53,090","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
328,Peugeot,e-5008 73 kWh Dual Motor,73.0,154,6.0,170,420 km/h,"* €55,000","* €55,000","* £51,000",All Wheel Drive,Towbar possible,1500.0,7
329,Porsche,Taycan Turbo S Cross Turismo,97.0,434,2.5,250,1050 km/h,"€211,300","€220,400","£162,500",All Wheel Drive,Towbar possible,1500.0,5
330,Nio,ET5 Touring 75 kWh,70.5,160,4.0,200,570 km/h,"€59,500","€63,900","£31,995",All Wheel Drive,Towbar possible,1400.0,5
331,Volkswagen,ID. Buzz LWB Pro,77.0,210,7.9,160,460 km/h,"* €70,000","* €70,000","* £62,000",Rear Wheel Drive,Towbar possible,1500.0,7
332,Porsche,Taycan 4S Sport Turismo,82.3,280,3.7,250,950 km/h,"€121,800","€127,800","£96,700",All Wheel Drive,Towbar possible,1500.0,5
333,Nio,EL7 75 kWh,70.5,257,3.9,200,510 km/h,"€85,900","€88,900","£31,995",All Wheel Drive,Towbar possible,2000.0,5
334,Porsche,Taycan Sport Turismo,82.3,233,4.8,230,980 km/h,"€102,400","€108,100","£87,300",Rear Wheel Drive,Towbar possible,1500.0,5
335,Porsche,Taycan Plus Sport Turismo,97.0,212,4.8,230,1130 km/h,"€108,124","€114,144","£91,754",Rear Wheel Drive,Towbar possible,1500.0,5
336,Smart,#1 Pulse,62.0,142,4.5,180,500 km/h,"€46,490","€46,055","£31,995",All Wheel Drive,Towbar possible,1600.0,5
337,Vinfast,VF 8 Plus Extended Range,87.7,140,5.5,200,550 km/h,"€58,890","€59,790","£31,995",All Wheel Drive,Towbar possible,1500.0,5
338,Porsche,Taycan Turbo S Sport Turismo,97.0,447,2.4,260,1010 km/h,"€210,800","€219,900","£162,100",All Wheel Drive,Towbar possible,1500.0,5
339,Nio,EL6 75 kWh,70.5,191,4.5,200,520 km/h,"€65,500","€67,900","£31,995",All Wheel Drive,Towbar possible,1200.0,5
340,Fiat,500e Cabrio 24 kWh,21.3,250,9.0,135,230 km/h,"€35,490","€31,990","£31,995",Front Wheel Drive,Towbar possible,1500.0,4
341,Mercedes-benz,EQV 250 Extra-Long,60.0,363,12.0,160,200 km/h,"€76,217","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,7
342,Genesis,GV60 Sport Plus,74.0,206,4.0,235,950 km/h,"€73,100","* €50,000","£67,505",All Wheel Drive,Towbar possible,1600.0,5
343,Abarth,500e Convertible,37.8,186,7.0,155,370 km/h,"€40,990","€41,490","£37,195",Front Wheel Drive,Towbar possible,1500.0,4
344,Porsche,Taycan 4S Plus Sport Turismo,97.0,254,3.7,250,1090 km/h,"€127,322","€133,631","£100,996",All Wheel Drive,Towbar possible,1500.0,5
345,Porsche,Taycan Turbo Sport Turismo,97.0,366,2.7,260,1030 km/h,"€176,600","€184,000","£134,800",All Wheel Drive,Towbar possible,1500.0,5
346,Fiat,500e 3+1 24 kWh,21.3,230,9.0,135,230 km/h,"* €50,000","€30,990","£31,995",Front Wheel Drive,Towbar possible,1500.0,4
347,Porsche,Taycan Turbo Cross Turismo,97.0,348,2.8,250,1090 km/h,"€177,000","€184,500","£135,200",All Wheel Drive,Towbar possible,1500.0,5
348,Mercedes-benz,EQV 250 Long,60.0,350,12.0,160,200 km/h,"€75,282","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,7
349,Mercedes-benz,eVito Tourer Long 60 kWh,60.0,311,12.0,160,210 km/h,"€68,398","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,8
350,Mercedes-benz,eVito Tourer Extra-Long 60 kWh,60.0,322,12.0,160,200 km/h,"€69,309","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,8
351,Kgm,Torres EVX,72.0,130,8.1,175,390 km/h,"€43,990","€41,250","£44,495",Front Wheel Drive,Towbar possible,1500.0,5
352,Mini,Aceman E,38.5,163,7.9,160,370 km/h,"* €37,000","€38,990","£31,800",Front Wheel Drive,Towbar possible,1500.0,5
353,Mini,Aceman SE,49.8,137,7.1,170,430 km/h,"* €40,000","* €42,000","* £36,000",Front Wheel Drive,Towbar possible,1500.0,5
